file,size,in_patch_zip,whole_file_changed,changed_bytes,corpus_total,high,medium,low,e2_valid,e2_other,inline_changed,original_high,occupied_slots,free_slots,remaining_for_e2,capacity_state
E4/SE04A.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E5/SE051.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E5/SE052.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E5/SE053.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E5/SE054.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E5/SE055.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E5/SE056.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E5/SE057.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E5/SE058.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E5/SE059.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,26,53,0,no_high_confidence_dialogue
E5/SE05A.DAT,305152,0,0,0,51,11,40,0,0,0,0,11,31,48,11,fits_current_e2_bank
F/SF011.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
F/SF021.DAT,305152,0,0,0,51,19,32,0,0,0,0,19,0,79,19,fits_current_e2_bank
F/SF031.DAT,305152,0,0,0,25,4,21,0,0,0,0,4,57,22,4,fits_current_e2_bank
F/SF041.DAT,305152,0,0,0,45,42,3,0,0,0,0,42,0,79,42,fits_current_e2_bank
F/SF051.DAT,305152,0,0,0,8,6,2,0,0,0,0,6,0,79,6,fits_current_e2_bank
F/SF061.DAT,305152,0,0,0,5,0,5,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
F/SF071.DAT,305152,0,0,0,1,0,1,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
F/SF081.DAT,305152,0,0,0,7,6,1,0,0,0,0,6,0,79,6,fits_current_e2_bank
F/SF091.DAT,305152,1,1,992,12,11,1,0,11,0,0,0,11,68,0,covered
F/SF0A1.DAT,305152,0,0,0,3,2,1,0,0,0,0,2,0,79,2,fits_current_e2_bank
F/SF0B1.DAT,305152,1,1,1419,19,17,2,0,17,0,0,0,17,62,0,covered
F/SF0C1.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
F/SF0D1.DAT,305152,1,1,181,3,3,0,0,3,0,0,0,3,76,0,covered
F/SF0E1.DAT,305152,0,0,0,20,20,0,0,0,0,0,20,0,79,20,fits_current_e2_bank
F/SF0F1.DAT,305152,0,0,0,6,6,0,0,0,0,0,6,0,79,6,fits_current_e2_bank
MAP/AREA0BG.DAT,33280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_high_confidence_dialogue
MAP/AREA0MAP.DAT,193536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_high_confidence_dialogue
MAP/AREA1BG.DAT,33280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_high_confidence_dialogue
MAP/AREA1MAP.DAT,193536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_high_confidence_dialogue
MAP/AREA2BG.DAT,33280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_high_confidence_dialogue
MAP/AREA2MAP.DAT,193536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_high_confidence_dialogue
MAP/AREA3BG.DAT,33280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_high_confidence_dialogue
MAP/AREA3MAP.DAT,193536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_high_confidence_dialogue
